pregunta;respuesta1;respuesta2;respuesta3;respuesta4;indice_correcta;competencias_especificas;criterios;saberes;descriptores;imagen;feedback_explicacion
¿Cuál es la utilidad principal de un relé?;Aumentar el voltaje de un circuito.;Que un circuito de baja potencia controle uno de alta potencia.;Generar corriente alterna a partir de corriente continua.;Almacenar carga para usarla en un flash.;2;CE1;CEV1.2;TYD.3.A.3;STEM2;rele.jpg;La gran ventaja del relé es el aislamiento. Permite que un circuito pequeño y seguro (ej. 5V) active un interruptor para un circuito grande y peligroso (ej. 230V).
¿Qué ocurre con el VOLTAJE (V) en un circuito en paralelo?;Se reparte entre los componentes.;Es cero en los ramales, pero total en la pila.;La suma de los voltajes de los ramales es el total.;Es el mismo para todos los componentes.;4;CE1;CEV1.2;TYD.3.A.3;STEM2;;"En un circuito en paralelo, cada ""rama"" o camino está conectada directamente a los dos polos de la pila. Por lo tanto, a cada componente le llega el mismo voltaje (la misma ""fuerza"") de la fuente."
¿Cuál es la función principal de un condensador (capacitor)?;Oponerse al paso de la corriente eléctrica.;Almacenar energía eléctrica y liberarla rápidamente.;Convertir la electricidad en movimiento.;Permitir el paso de corriente solo en un sentido.;2;CE1;CEV1.2;TYD.3.A.3;STEM2;condensador.jpg;"Un condensador actúa como un depósito de carga. Se ""carga"" de energía y la mantiene, pudiendo ""descargarla"" de golpe. Es la base del flash de una cámara."
¿Qué máquina eléctrica convierte energía mecánica (movimiento) en energía eléctrica?;Un motor.;Un transformador.;Un generador.;Un relé.;3;CE1;CEV1.2;TYD.3.A.3;STEM2;;"Un generador (como una dinamo o un alternador) aprovecha el movimiento (energía mecánica) para ""generar"" electricidad (energía eléctrica)."
¿Cuál es la fórmula de la Potencia Eléctrica (Ley de Watt)?;P = I · R;P = V / I;P = I · V;P = R · V;3;CE1;CEV1.2;TYD.3.A.3;STEM2;;La Ley de Watt establece que la Potencia (P) es el resultado de multiplicar el Voltaje (V) por la Intensidad (I).
¿Cuáles son las dos funciones principales de un transistor?;Almacenar energía y emitir luz.;Funcionar como interruptor o como amplificador.;Generar electricidad y cambiar el voltaje.;Resistir el paso de corriente y crear movimiento.;2;CE1;CEV1.2;TYD.3.A.3;STEM2;transistor.png;El transistor es el pilar de la electrónica. Puede actuar como un interruptor (dejar pasar o no la corriente) o como un amplificador (usar una pequeña señal para controlar una corriente mucho mayor).
¿Cómo se puede averiguar el valor en Ohmios de una resistencia?;Interpretando su código de bandas de colores.;Midiéndola con un ohmímetro.;Midiéndola con un multímetro.;Todos los métodos anteriores son correctos.;4;CE1;CEV1.2;TYD.3.A.3;STEM2;resistencia.jpg;"Todos los métodos son válidos: el código de colores es un sistema de identificación visual; el ohmímetro es el instrumento específico para medir ohmios; y el multímetro (o polímetro) es una herramienta multifunción que incluye un ohmímetro."
Se conectan dos resistencias como en la imagen: R1 = 3 Ω y R2 = 6 Ω. ¿Cuál es la resistencia equivalente (Req) del circuito?;9 Ω;2 Ω;18 Ω;3 Ω;2;CE1;CEV1.2;TYD.3.A.3;STEM2;circuito_paralelo.png;Para calcular la resistencia equivalente de dos resistencias en paralelo, se usa la fórmula Req = (R1 · R2) / (R1 + R2). Aplicando los valores: Req = (3 · 6) / (3 + 6) = 18 / 9 = 2 Ω. El error común es sumarlas (9 Ω), que sería para un circuito en serie.
Calcula la resistencia equivalente del circuito de la imagen; 19 Ω; 12 Ω;8 Ω;21 Ω;3;CE1;CEV1.2;TYD.3.A.3;STEM2;circuito_mixto.png;Para calcular la resistencia equivalente primero hay que resolver el paralelo formado por las resistencias R2 y R3, se usa la fórmula Req = (R2 · R3) / (R2 + R3). Aplicando los valores: Req = (4 · 12) / (4 + 12) = 48 / 16 = 3 Ω, y después sumar ese resultado a R1 que está en serie: 5 + 3 = 8 Ω.
Si un LED no se enciende en el circuito, ¿cuál sería el enfoque más adecuado para solucionarlo?;Usar un relé.;Revisar la polaridad, conexiones y valor de la resistencia.;Añadir más LEDs.;Añadir más resistencias.;2;CE2;CEV2.1;TYD.3.A.5;STEM1,STEM3,CE1,CE3;;Ante un fallo en el LED, conviene revisar la polaridad, las conexiones y la resistencia antes de modificar el circuito.
