pregunta;respuesta1;respuesta2;respuesta3;respuesta4;indice_correcta;competencias_especificas;criterios;saberes;descriptores;imagen;feedback_explicacion
"Un componente con dos terminales cuya misión es oponerse al paso de la corriente se denomina:";"Transistor";"Batería";"Resistencia";"Pila";3;"CE3,CE4";"CR3.3,CR4.1";"Componentes electrónicos";"STEM2";;"La resistencia es un componente que limita o dificulta el paso de la corriente eléctrica en un circuito."
"El interruptor se conecta en un circuito para:";"Aumentar la tensión";"Abrir o cerrar el circuito";"Disminuir la resistencia";"Medir la intensidad";2;"CE3";"CR3.3";"Componentes, Montaje";"STEM2";;"El interruptor es un dispositivo que permite controlar el paso de la corriente, abriendo (cortando) o cerrando (permitiendo el paso) el circuito."
"Si V=12 V y R=24 Ω, la Intensidad (I) es:";"2 A";"0,5 A";"12 A";"24 A";2;"CE2,CE3";"CR2.2";"Ley de Ohm";"STEM2";;"Aplicando la Ley de Ohm (I = V/R), I = 12 V / 24 Ω = 0,5 A."
"Un motor de corriente continua (DC) transforma la energía:";"Química en eléctrica";"Eléctrica en lumínica";"Eléctrica en mecánica";"Mecánica en eléctrica";3;"CE1,CE4";"CR1.1,CR4.1";"Efectos de la electricidad";"STEM1,STEM2";;"El motor transforma la energía eléctrica que recibe en energía mecánica (movimiento)."
"¿Qué tipo de corriente suministra una pila o batería?";"Corriente Alterna (AC)";"Corriente Pulsante (PC)";"Corriente Continua (DC)";"Corriente Inducida (IC)";3;"CE1";"CR1.1";"Electricidad básica";"STEM1";;"Las pilas y baterías suministran Corriente Continua (DC), donde el flujo de carga es unidireccional."
"El código de colores en una resistencia sirve para conocer su:";"Polaridad";"Potencia máxima";"Valor en ohmios (Ω)";"Tipo de material";3;"CE4";"CR4.1,CR4.2";"Componentes electrónicos";"STEM2,CD1";resis.png;"El código de colores es un sistema estandarizado para identificar el valor nominal de una resistencia."
"Para medir la tensión (Voltaje) en un componente se usa un:";"Amperímetro en serie";"Voltímetro en paralelo";"Ohmímetro en serie";"Vatímetro en paralelo";2;"CE3";"CR3.1";"Instrumentos de medida";"STEM2";;"El voltímetro se conecta en paralelo al componente para medir la diferencia de potencial entre sus extremos."
"Un diodo permite el paso de la corriente:";"En ambos sentidos";"Solo en un sentido";"Depende de la tensión";"Depende de la intensidad";2;"CE4";"CR4.1";"Componentes electrónicos";"STEM2";;"El diodo es un componente que permite el flujo de la corriente principalmente en una dirección (polarización directa)."
"¿Qué magnitud se mide en Ohmios (Ω)?";"Tensión";"Intensidad";"Resistencia";"Potencia";3;"CE1,CE2";"CR1.1,CR2.1";"Ley de Ohm";"STEM1";;"El Ohmio (Ω) es la unidad de medida de la Resistencia eléctrica, según la Ley de Ohm."
"Si en un circuito paralelo una bombilla se funde, el resto:";"Se apaga";"Brilla más";"Sigue encendido";"Brilla menos";3;"CE1";"CR1.3";"Circuitos serie y paralelo";"STEM1";;"En un circuito en paralelo, cada rama es independiente; si una se abre (se funde la bombilla), el resto sigue funcionando."
